number,name,type,type_canonical,zone,from_station_code,from_station_name,to_station_code,to_station_name,distance,duration_h,duration_m,arrival,departure,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
16032,Andaman Express,Exp,Express,SR,JAT,JAMMU TAWI,MAS,CHENNAI CENTRAL,2800,58,25,10:10:00,23:45:00,16031,1,1,0,0,0,0
16041,Chennai- Alapuzha Alleppey Express,Exp,Express,SR,MAS,CHENNAI CENTRAL,ALLP,ALLEPPEY,746,13,30,10:45:00,21:15:00,16042,1,1,1,0,1,0
16085,Arakkonam-Jolarpettai Express,Exp,Express,SR,AJJ,ARAKKONAM,JTJ,JOLARPETTAI,145,3,5,21:10:00,18:05:00,16086,0,0,0,0,0,0
16086,Arakkonam Express,Exp,Express,SR,JTJ,JOLARPETTAI,AJJ,ARAKKONAM,145,2,50,09:45:00,06:55:00,16085,0,0,0,0,0,0
16089,Yelagiri Express,Exp,Express,SR,MAS,CHENNAI CENTRAL,TPT,TIRUPATTUR JN,220,4,35,22:30:00,17:55:00,16090,0,0,0,0,0,0
16090,Yelagiri Express,Exp,Express,SR,TPT,TIRUPATTUR JN,MAS,CHENNAI CENTRAL,220,4,30,09:05:00,04:35:00,16089,0,0,0,0,0,0
16108,Mangalore Chennai Egmore Express,Exp,Express,SR,MAQ,MANGALORE CNTL,MS,CHENNAI EGMORE,983,22,15,05:05:00,06:50:00,16107,1,1,1,1,0,0
16115,Chennai Egmore Puducherry Express,Exp,Express,SR,MS,CHENNAI EGMORE,PDY,Puducherry,196,3,40,21:50:00,18:10:00,16116,0,0,0,0,0,0
16116,Puducherry Chennai Express,Exp,Express,SR,PDY,Puducherry,MS,CHENNAI EGMORE,196,3,45,09:20:00,05:35:00,16115,0,0,0,0,0,0
16125,CHENNAI EGMORE - JODHPUR Exp,Exp,Express,SR,MS,CHENNAI EGMORE,JU,JODHPUR JN,2356,43,45,11:00:00,15:15:00,16126,1,1,1,0,0,0
16127,CHENNAI EGMORE - GURUVAYUR Exp,Exp,Express,SR,MS,CHENNAI EGMORE,GUV,GURUVAYUR,1100,23,0,06:40:00,07:40:00,16128,1,1,1,0,0,0
16128,GURUVAYUR - CHENNAI EGMORE Exp,Exp,Express,SR,GUV,GURUVAYUR,MS,CHENNAI EGMORE,1100,24,25,21:15:00,20:50:00,16127,1,1,1,0,0,0
16175,Kamban Express,Exp,Express,SR,MS,CHENNAI EGMORE,NCR,Nagore,436,10,0,09:15:00,23:15:00,16176,1,1,1,1,1,0
16176,Kamban Express,Exp,Express,SR,NCR,Nagore,MS,CHENNAI EGMORE,436,9,20,05:25:00,20:05:00,16175,1,1,1,1,1,0
16177,Rock Fort Express,Exp,Express,SR,MS,CHENNAI EGMORE,KMU,KUMBAKONAM,425,9,10,07:40:00,22:30:00,16178,1,1,1,1,1,0
16178,Rock Fort (Malai Kottai) Express,Exp,Express,SR,KMU,KUMBAKONAM,MS,CHENNAI EGMORE,425,9,20,05:15:00,19:55:00,16177,1,1,1,1,1,0
16179,Mannai Express,Exp,Express,SR,MS,CHENNAI EGMORE,MQ,Mannargudi,395,8,25,06:25:00,22:00:00,16180,1,1,1,1,0,0
16180,Mannai Express,Exp,Express,SR,MQ,Mannargudi,MS,CHENNAI EGMORE,395,8,35,05:50:00,21:15:00,16179,1,1,1,1,0,0
16201,Bangalore City-Shimoga InterCity,Exp,Express,SWR,SBC,BANGALORE CITY JN,SMET,Shimoga Town,274,5,30,22:00:00,16:30:00,16202,0,0,0,0,0,1
16202,Shimoga-Bangalore City InterCity,Exp,Express,SWR,SMET,Shimoga Town,SBC,BANGALORE CITY JN,274,5,35,11:55:00,06:20:00,16201,0,0,0,0,0,1
