station,interactions,mean_risk,high_risk_interactions,mean_source_delay,mean_gap,warning_rate,bottleneck_score
RFJ,30,0.49688163848444933,21,35.5,15.366666666666667,0.7,0.4981499915017325
PRYJ,453,0.4966121429540348,298,46.920529801324506,11.792494481236202,0.6578366445916115,0.49814087894994213
DNA,31,0.49731603466637936,23,23.838709677419356,18.741935483870968,0.7419354838709677,0.49790388584729806
SKZR,30,0.49615583828828036,20,44.1,16.633333333333333,0.6666666666666666,0.4974067782045429
PRR,31,0.49769035446640336,22,31.64516129032258,15.548387096774194,0.7096774193548387,0.49714567517647945
RRB,77,0.49761896456967586,58,19.83116883116883,15.38961038961039,0.7532467532467533,0.49696602372996995
HW,81,0.4985407090495239,62,15.938271604938272,20.358024691358025,0.7654320987654321,0.49672802845521735
BZU,52,0.4973892550678686,37,30.576923076923077,14.634615384615385,0.7115384615384616,0.49635854080187436
SRR,112,0.49811417749996645,85,16.901785714285715,16.178571428571427,0.7589285714285714,0.49564146075381826
NED,45,0.49898005422873615,34,17.4,16.22222222222222,0.7555555555555555,0.4956197810293569
BTE,82,0.4972574678150072,61,20.890243902439025,14.609756097560975,0.7439024390243902,0.495166628816654
ERN,72,0.49777603451656965,55,15.25,15.402777777777779,0.7638888888888888,0.49511284947304984
AD,39,0.4861439885593545,27,39.48717948717949,16.641025641025642,0.6923076923076923,0.49493340654377405
GMO,49,0.497952555434499,36,22.612244897959183,16.551020408163264,0.7346938775510204,0.4946777797945905
KLBG,96,0.49174857099857033,71,24.052083333333332,14.875,0.7395833333333334,0.4946531818452956
GGN,130,0.4984803542413795,101,10.792307692307693,15.261538461538462,0.7769230769230769,0.49438903273934404
NOQ,34,0.49187349011501597,21,56.44117647058823,16.176470588235293,0.6176470588235294,0.4943641697186476
KNW,150,0.4954083442284872,93,53.85333333333333,15.286666666666667,0.62,0.49394280000387825
PGW,118,0.49160228784835897,82,35.33898305084746,15.974576271186441,0.6949152542372882,0.49380478401063155
