service_date,station,source_train,target_train,source_arr_delay,target_arr_delay,gap_minutes,source_delay_class,risk_score,risk_band
2024-09-04,MRA,12001,12191,19.0,146.0,19.0,HIGH,0.5089105834627928,ELEVATED
2024-09-25,BJU,13022,15234,8.0,5.0,12.0,MODERATE,0.5042395450153772,ELEVATED
2024-09-05,SA,22615,22677,9.0,19.0,20.0,MODERATE,0.49025145295546013,MODERATE
2024-09-14,OGL,12734,17210,0.0,0.0,1.0,LOW,0.4757233009977858,MODERATE
2024-09-24,KLD,12555,12553,8.0,13.0,25.0,MODERATE,0.5036611971730109,ELEVATED
2024-09-22,BTT,14674,15027,0.0,0.0,17.0,LOW,0.47618984268760034,MODERATE
2024-09-06,MAN,12901,20908,0.0,0.0,20.0,LOW,0.47618984268760034,MODERATE
2024-09-18,VPT,17235,12693,14.0,24.0,30.0,MODERATE,0.46765211349148683,LOW
2024-09-08,TNA,12125,11401,12.0,9.0,11.0,MODERATE,0.510074853554955,ELEVATED
2024-09-25,HJP,12524,15027,23.0,16.0,23.0,HIGH,0.5047651857727244,ELEVATED
2024-09-12,MYA,12614,16232,7.0,4.0,15.0,MODERATE,0.4875788900220746,MODERATE
2024-09-26,MTJ,22168,12919,44.0,34.0,23.0,HIGH,0.5056620005998539,ELEVATED
2024-09-29,AGC,20176,11902,0.0,0.0,11.0,LOW,0.47618984268760034,MODERATE
2024-09-29,PUNE,16381,17318,0.0,21.0,20.0,LOW,0.51353587195818,ELEVATED
2024-09-29,RUPC,12091,15014,0.0,0.0,20.0,LOW,0.47618984268760034,MODERATE
2024-09-04,MCI,12757,17012,18.0,3.0,29.0,HIGH,0.5052745382913961,ELEVATED
2024-09-28,JSME,3043,8439,58.0,122.0,14.0,HIGH,0.48888932301999377,MODERATE
2024-09-16,GGC,12945,12471,0.0,28.0,3.0,LOW,0.5069291426331757,ELEVATED
2024-09-22,GZB,12035,19032,2.0,3.0,16.0,LOW,0.5261420149001802,ELEVATED
2024-09-04,OGL,17247,22826,30.0,0.0,5.0,HIGH,0.46992765011031395,LOW
2024-09-13,NU,7652,11034,331.0,178.0,30.0,SEVERE,0.5186257806651815,ELEVATED
2024-09-21,KYI,3190,3183,2.0,11.0,19.0,LOW,0.5069291426331757,ELEVATED
2024-09-13,TPTY,16057,16054,0.0,0.0,20.0,LOW,0.48356692776731924,MODERATE
2024-09-08,DUD,17030,22731,47.0,3.0,11.0,HIGH,0.5063923207240459,ELEVATED
2024-09-07,KPD,12685,12253,0.0,29.0,6.0,LOW,0.5069291426331757,ELEVATED
2024-09-08,CKU,18030,12813,77.0,0.0,7.0,SEVERE,0.4715928485779786,MODERATE
2024-09-17,GWL,12724,22222,20.0,22.0,12.0,HIGH,0.505035340133624,ELEVATED
